Course title,Course_Type,Organization,Skills,Workload,Difficulty_level,Language,Course_link,Ratings,Review count,Payment_Model
Accounting Analytics,Individual Course,University of Pennsylvania,"Finance, Data Analysis","4 weeks, 3 -5 hours per week",N/A,en,https://www.coursera.org/learn/accounting-analytics,4.5,3023,Free Audit / Pay for Cert
Çok değişkenli Fonksiyon II: Uygulamalar / Multivariable Calculus II: Applications,Individual Course,Koç University,Math And Logic,9 hours per module,N/A,tr,https://www.coursera.org/learn/calculus-diferansiyel-hesap,4.4,14,Free Audit / Pay for Cert
Negotiations For Leaders,Individual Course,Creo Incubator,"Leadership And Management, Entrepreneurship",,Beginner,en,https://www.coursera.org/learn/negotiations-for-leaders,N/A,1,Free Audit / Pay for Cert
Municipal Solid Waste Management in Developing Countries,Individual Course,École Polytechnique Fédérale de Lausanne,"Environmental Science And Sustainability, Governance And Society","5 weeks of study, 4-6 hours/week",Intermediate,en,https://www.coursera.org/learn/solid-waste-management,4.8,3496,Free Audit / Pay for Cert
Management Complete Guide - Succeed in Leadership Roles,Individual Course,Chris Croft Training ,"Leadership And Management, Business Essentials",,Beginner,en,https://www.coursera.org/learn/management-leadership,N/A,0,Free Audit / Pay for Cert
كابستون: تطبيق إدارة المشروعات في العالم الحقيقي,Individual Course,Google,"Leadership And Management, Business Essentials",,Beginner,ar,https://www.coursera.org/learn/applying-project-management-in-the-real-world-arabic,N/A,0,Free Audit / Pay for Cert
Protecting Data with NetApp Cloud Manager & Cloud Volumes ONTAP for Google Cloud,Individual Course,Google Cloud,"Cloud Computing, Data Management",1 hour 30 minutes,Beginner,en,https://www.coursera.org/learn/googlecloud-protecting-data-with-netapp-cloud-manager-cloud-volumes-ontap-iojct,N/A,0,Free Audit / Pay for Cert
FinTech Foundations and Overview,Individual Course,The Hong Kong University of Science and Technology,"Finance, Business Essentials","7 hours of videos in total, plus a final project requiring about 5 hours to complete.",Beginner,en,https://www.coursera.org/learn/fintech,4.7,585,Free Audit / Pay for Cert
"Extract, Transform, and Load Data",Individual Course,CertNexus,"Data Analysis, Machine Learning","3 weeks of study, 1–3 hours per week",Intermediate,en,https://www.coursera.org/learn/extract-transform-and-load-data,4.8,37,Free Audit / Pay for Cert
Управление рисками проекта и изменениями,Individual Course,"University of California, Irvine",Leadership And Management,"4 weeks of study, 2-3 hours/week",N/A,ru,https://www.coursera.org/learn/project-risk-management-ru,4.8,87,Free Audit / Pay for Cert
Assessing Data Quality with Dataplex,Individual Course,Google Cloud,"Cloud Computing, Data Analysis",90 minutes,Beginner,en,https://www.coursera.org/learn/googlecloud-assessing-data-quality-with-dataplex-fk1hs,N/A,0,Free Audit / Pay for Cert
Emerging Markets - Jagdish Sheth,Individual Course,Kennesaw State University,"Marketing, Business Strategy",,Beginner,en,https://www.coursera.org/learn/emerging-markets,N/A,0,Free Audit / Pay for Cert
Choisissez une publication basée sur l'engagement avec Facebook pour les entreprises,Individual Course,Coursera,"Marketing, Leadership And Management",2 heures,Beginner,fr,https://www.coursera.org/learn/choisissez-une-publication-basee-sur-l-engagement-avec-facebook-pour-entreprises,N/A,0,Free Audit / Pay for Cert
Storying the Self: Telling our Stories,Individual Course,University of Colorado Boulder,"Personal Development, Music And Art","Three weeks of study, 3-5hours/week",Beginner,en,https://www.coursera.org/learn/storying-the-self-telling-our-stories,N/A,3,Free Audit / Pay for Cert
Developing Applications with Cloud Run on Google Cloud: Fundamentals,Individual Course,Google Cloud,Cloud Computing,,Beginner,en,https://www.coursera.org/learn/developing-applications-with-cloud-run-on-gcp-fundamentals,4.4,12,Free Audit / Pay for Cert
Advanced AI Techniques for the Supply Chain,Individual Course,LearnQuest,"Machine Learning, Data Analysis","3 weeks of study, 3-5 hours per week",Intermediate,en,https://www.coursera.org/learn/advanced-ai-techniques-for-the-supply-chain,3.2,15,Free Audit / Pay for Cert
Automize Monthly Report Creation with Power Automate,Individual Course,Coursera,"Cloud Computing, Business Essentials",90 minutes,Beginner,en,https://www.coursera.org/learn/automize-monthly-report-creation-power-automate,4.4,9,Free Audit / Pay for Cert
GenAI for Risk Managers: Advanced Risk Analysis Techniques,Individual Course,Coursera,"Machine Learning, Data Analysis",3 Hour 20 minutes,Advanced,en,https://www.coursera.org/learn/genai-for-risk-managers-advanced-risk-analysis-techniques,N/A,2,Free Audit / Pay for Cert
Music and Social Action,Individual Course,Yale University,"Music And Art, Philosophy","7 weeks of study, 2-3 hours/week",N/A,en,https://www.coursera.org/learn/music-and-social-action,4.7,181,Free Audit / Pay for Cert
Erstelle eine Facebook Gruppe,Individual Course,Coursera,"Business Essentials, Leadership And Management",2 Stunden,Beginner,de,https://www.coursera.org/learn/erstelle-facebook-gruppen,N/A,0,Free Audit / Pay for Cert
